,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
43.8462,0.162816,0.163283,0.16375,0.164217,0.164683,0.165356,0.166117,0.166878,0.167638,0.168456,0.169359,0.170262,0.171165,0.172073,0.173022,0.173971,0.17492,0.175868,0.176827,0.177787,0.178748,0.179709,0.180683,0.181672,0.182661,0.183649,0.184648,0.185687,0.186726,0.187765,0.188804,0.189891,0.190984,0.192077,0.19317,0.194292,0.195433,0.196575,0.197716,0.198872,0.20006,0.201249,0.202437,0.203626
46.1538,0.162725,0.163187,0.163649,0.164112,0.164574,0.165242,0.165999,0.166756,0.167513,0.168327,0.169225,0.170124,0.171022,0.171925,0.172868,0.173812,0.174755,0.175698,0.176653,0.177611,0.178569,0.179527,0.1805,0.181488,0.182476,0.183464,0.184461,0.185499,0.186536,0.187574,0.188611,0.189696,0.190785,0.191874,0.192963,0.194081,0.195217,0.196354,0.19749,0.19864,0.199823,0.201005,0.202187,0.203369
48.4615,0.162634,0.163092,0.163549,0.164007,0.164464,0.165129,0.165882,0.166635,0.167388,0.168197,0.169091,0.169985,0.170879,0.171777,0.172715,0.173653,0.17459,0.175528,0.17648,0.177435,0.17839,0.179345,0.180316,0.181304,0.182291,0.183278,0.184275,0.185311,0.186347,0.187383,0.188419,0.1895,0.190585,0.191671,0.192757,0.19387,0.195001,0.196133,0.197264,0.198409,0.199585,0.200761,0.201936,0.203112
50.7692,0.162543,0.162996,0.163449,0.163902,0.164355,0.165015,0.165764,0.166513,0.167262,0.168067,0.168957,0.169846,0.170735,0.171629,0.172561,0.173494,0.174426,0.175358,0.176306,0.177259,0.178211,0.179163,0.180133,0.181119,0.182106,0.183093,0.184089,0.185123,0.186158,0.187192,0.188226,0.189304,0.190386,0.191468,0.19255,0.193659,0.194786,0.195912,0.197038,0.198178,0.199347,0.200517,0.201686,0.202855
53.0769,0.162452,0.1629,0.163349,0.163797,0.164245,0.164901,0.165647,0.166392,0.167137,0.167938,0.168823,0.169707,0.170592,0.171481,0.172408,0.173335,0.174261,0.175188,0.176133,0.177082,0.178032,0.178981,0.179949,0.180935,0.181921,0.182907,0.183903,0.184935,0.185968,0.187001,0.188034,0.189108,0.190187,0.191265,0.192344,0.193448,0.19457,0.195691,0.196812,0.197946,0.199109,0.200272,0.201435,0.202599
55.3846,0.162361,0.162805,0.163248,0.163692,0.164136,0.164788,0.165529,0.16627,0.167012,0.167808,0.168689,0.169569,0.170449,0.171333,0.172254,0.173176,0.174097,0.175018,0.17596,0.176906,0.177853,0.178799,0.179765,0.180751,0.181736,0.182722,0.183716,0.184748,0.185779,0.18681,0.187841,0.188912,0.189987,0.191062,0.192138,0.193237,0.194354,0.19547,0.196586,0.197715,0.198872,0.200028,0.201185,0.202342
57.6923,0.16227,0.162709,0.163148,0.163587,0.164026,0.164674,0.165411,0.166149,0.166886,0.167679,0.168554,0.16943,0.170305,0.171185,0.172101,0.173017,0.173932,0.174848,0.175786,0.17673,0.177674,0.178617,0.179582,0.180567,0.181551,0.182536,0.18353,0.18456,0.185589,0.186619,0.187649,0.188716,0.189788,0.19086,0.191931,0.193027,0.194138,0.195249,0.196361,0.197484,0.198634,0.199784,0.200935,0.202085
60,0.162179,0.162613,0.163048,0.163482,0.163917,0.16456,0.165294,0.166027,0.166761,0.167549,0.16842,0.169291,0.170162,0.171037,0.171947,0.172857,0.173768,0.174678,0.175613,0.176554,0.177495,0.178436,0.179398,0.180382,0.181366,0.182351,0.183344,0.184372,0.1854,0.186428,0.187456,0.18852,0.189588,0.190657,0.191725,0.192816,0.193922,0.195028,0.196135,0.197252,0.198396,0.19954,0.200684,0.201828
62.3846,0.162092,0.16253,0.162968,0.163407,0.163845,0.16449,0.165225,0.16596,0.166694,0.167483,0.168353,0.169223,0.170094,0.170968,0.171877,0.172786,0.173695,0.174605,0.175539,0.17648,0.177421,0.178362,0.179325,0.18031,0.181295,0.18228,0.183275,0.184305,0.185334,0.186364,0.187394,0.188461,0.189531,0.190601,0.191672,0.192765,0.193874,0.194983,0.196091,0.197212,0.198358,0.199505,0.200651,0.201798
64.7692,0.162005,0.162447,0.162889,0.163331,0.163773,0.16442,0.165156,0.165892,0.166628,0.167417,0.168286,0.169156,0.170025,0.170898,0.171806,0.172715,0.173623,0.174531,0.175466,0.176406,0.177347,0.178288,0.179251,0.180238,0.181224,0.18221,0.183205,0.184237,0.185269,0.186301,0.187333,0.188401,0.189474,0.190546,0.191619,0.192715,0.193826,0.194937,0.196048,0.197171,0.19832,0.199469,0.200618,0.201768
